PI4KB,Pi4kb
ZNF287,Zfp287
ZNF292,Zfp292
ZNF296,Zfp296
ZNF3,Zfp113
ZNF300,Zfp982
ZNF300,Zfp677
ZNF300,Zfp758
ZNF316,Zfp316
ZNF317,Zfp317
ZNF318,Zfp318
ZNF319,Zfp319
ZNF32,Zfp637
ZNF322,Zfp322a
ZNF324,Zfp324
ZNF324B,Zfp324
ZNF326,Zfp326
ZNF329,Zfp329
ZNF330,Zfp330
ZNF334,Zfp334
ZNF335,Zfp335
ZNF341,Zfp341
ZNF346,Zfp346
ZNF347,Zfp160
ZNF35,Zfp105
ZNF354A,Zfp354a
ZNF354B,Zfp354b
ZNF354C,Zfp354c
ZNF358,Zfp358
ZNF362,Zfp362
ZNF365,Zfp365
ZNF366,Zfp366
ZNF367,Zfp367
ZNF382,Zfp382
ZNF383,Zfp383
ZNF384,Zfp384
ZNF385A,Zfp385a
ZNF385B,Zfp385b
ZNF385C,Zfp385c
ZNF394,Zkscan14
ZNF395,Zfp395
ZNF397,Zfp397
ZNF398,Zfp398
ZNF407,Zfp407
ZNF408,Zfp408
ZNF410,Zfp410
ZNF414,Zfp414
ZNF416,Zfp418
ZNF420,Zfp420
ZNF423,Zfp423
ZNF426,Zfp426
ZNF428,Zfp428
ZNF429,Rsl1
ZNF429,Zfp87
ZNF429,Zfp456
ZNF429,Zfp72
ZNF429,Zfp708
ZNF429,Zfp429
ZNF429,Zfp874a
ZNF429,Zfp874b
ZNF429,Zfp455
ZNF429,Zfp58
ZNF43,Zfp458
ZNF432,Zfp442
ZNF432,Zfp433
ZNF432,Zfp997
ZNF432,Gm32687
ZNF432,Zfp950
ZNF432,Gm14399
ZNF432,Gm14124
ZNF432,Gm3604
ZNF432,5430403G16Rik
ZNF432,Gm14443
ZNF432,Zfp970
ZNF432,Gm14412
ZNF432,Gm45871
ZNF432,Zfp976
ZNF433,Gm33378
ZNF433,Gm32687
ZNF433,Zfp433
ZNF436,Zfp46
ZNF438,Zfp438
ZNF442,Gm2026
ZNF442,Gm14326
ZNF442,Gm14325
ZNF442,Gm14308
ZNF442,Zfp966
ZNF442,Zfp967
ZNF442,Gm14434
ZNF442,Gm14412
ZNF442,Gm14305
ZNF442,Gm4724
ZNF442,Gm6710
ZNF442,Zfp970
ZNF442,Gm14391
ZNF442,Zfp971
ZNF443,Zfp882
ZNF443,Zfp709
ZNF444,Zfp444
ZNF445,Zfp445
ZNF446,Zfp446
ZNF449,Zfp449
ZNF45,Zfp94
ZNF451,Zfp451
ZNF454,Zfp454
ZNF462,Zfp462
ZNF467,Zfp467
ZNF469,Zfp469
ZNF471,Zfp78
ZNF473,Zfp473
ZNF474,Zfp474
ZNF48,Zfp553
ZNF483,Zkscan16
ZNF486,Zfp982
ZNF486,Zfp935
ZNF488,Zfp488
ZNF490,Zfp958
ZNF490,Gm4767
ZNF490,Gm14444
ZNF490,Zfp866
ZNF490,Zfp937
ZNF490,Zfp936
ZNF490,Gm10778
ZNF490,Zfp998
ZNF490,2610044O15Rik8
ZNF490,Zfp930
ZNF493,Zfp11
ZNF493,5430403G16Rik
ZNF493,Zfp457
ZNF493,Zfp433
ZNF493,Gm14399
ZNF493,Gm14124
ZNF493,Zfp976
ZNF493,Zfp997
ZNF493,Gm14412
ZNF493,Gm3604
ZNF493,Gm14443
ZNF493,Zfp442
ZNF493,Zfp595
ZNF493,Zfp950
ZNF493,Gm32687
ZNF493,Zfp970
ZNF493,Gm45871
ZNF496,Zkscan17
ZNF502,Zfp72
ZNF503,Zfp503
ZNF506,Zfp982
ZNF506,Zfp935
ZNF507,Zfp507
ZNF511,Zfp511
ZNF512,Zfp512
ZNF512B,Zfp512b
ZNF513,Zfp513
ZNF516,Zfp516
ZNF518A,Zfp518a
ZNF518B,Zfp518b
ZNF519,Zfp386
ZNF521,Zfp521
ZNF524,Zfp524
ZNF526,Zfp526
ZNF532,Zfp532
ZNF536,Zfp536
ZNF541,Zfp541
ZNF544,Gm14412
ZNF544,Gm14124
ZNF544,Zfp26
ZNF546,Zfp11
ZNF551,Zfp551
ZNF557,Zfp558
ZNF558,Zfp558
ZNF559-ZNF177,Gm14296
ZNF559-ZNF177,Zfp931
ZNF559-ZNF177,Zfp965
ZNF560,Zfp560
ZNF561,Zfp266
ZNF562,Zfp266
ZNF563,Zfp563
ZNF565,Zfp84
ZNF566,Zfp566
ZNF567,Zfp300
ZNF569,Zfp74
ZNF56P,Zfp58
ZNF574,Zfp574
ZNF575,Zfp575
ZNF579,Zfp579
ZNF580,Zfp580
ZNF582,Gm3854
ZNF583,Zfp583
ZNF585A,Zfp27
ZNF585B,Zfp27
ZNF592,Zfp592
ZNF593,Zfp593
ZNF593OS,E130218I03Rik
ZNF595,Zfp950
ZNF595,Zfp595
ZNF595,Zfp433
ZNF595,Gm45871
ZNF595,Gm3604
ZNF595,Zfp970
ZNF595,Gm32687
ZNF595,Gm14124
ZNF595,Gm14443
ZNF595,Zfp976
ZNF595,Zfp997
ZNF595,5430403G16Rik
ZNF595,Gm14412
ZNF595,Zfp442
ZNF595,Gm14399
ZNF597,Zfp597
ZNF598,Zfp598
ZNF605,Zfp605
ZNF606,Zfp606
ZNF608,Zfp608
ZNF609,Zfp609
ZNF611,Zfp997
ZNF611,Zfp712
ZNF611,Zfp708
ZNF611,Gm3604
ZNF611,Zfp976
ZNF611,Gm14443
ZNF611,Gm45871
ZNF611,Gm14399
ZNF611,Zfp433
ZNF611,Zfp442
ZNF611,Gm32687
ZNF611,5430403G16Rik
ZNF611,Zfp87
ZNF611,Gm14124
ZNF611,Zfp950
ZNF611,Zfp970
ZNF611,Gm14412
ZNF613,Zfp157
ZNF615,Gm14412
ZNF615,Gm45871
ZNF615,Zfp433
ZNF615,Zfp997
ZNF615,Zfp970
ZNF615,Gm3604
ZNF615,Gm32687
ZNF615,Gm14124
ZNF615,Gm14399
ZNF615,Zfp950
ZNF615,Zfp976
ZNF615,5430403G16Rik
ZNF615,Gm14443
ZNF615,Zfp442
ZNF616,Zfp534
ZNF616,Rex2
ZNF616,Zfp991
ZNF616,Gm30910
ZNF616,Zfp992
ZNF616,Zfp980
ZNF616,Zfp987
ZNF616,Zfp984
ZNF616,Zfp600
ZNF616,Zfp268
ZNF616,Zfp985
ZNF616,Zfp981
ZNF616,Zfp979
ZNF616,Zfp160
ZNF618,Zfp618
ZNF622,Zfp622
ZNF623,Zfp623
ZNF624,Gm3055
ZNF625,Zfp931
ZNF627,Zfp867
ZNF628,Zfp628
ZNF629,Zfp629
ZNF630,Zfp119b
ZNF638,Zfp638
ZNF639,Zfp639
ZNF641,Zfp641
ZNF644,Zfp644
ZNF646,Zfp646
ZNF648,Zfp648
ZNF652,Zfp652
ZNF653,Zfp653
ZNF654,Zfp654
ZNF655,Zfp655
ZNF658,Zfp616
ZNF658,Gm7145
ZNF658,Zfp735
ZNF663P,Zfp663
ZNF664,Zfp664
ZNF665,Zfp160
ZNF667,Zfp667
ZNF668,Zfp668
ZNF669,Zfp963
ZNF670,Gm6871
ZNF672,Zfp672
ZNF676,Gm14399
ZNF676,Zfp273
ZNF676,Zfp433
ZNF676,Zfp997
ZNF676,Gm14443
ZNF676,Zfp970
ZNF676,Gm3604
ZNF676,Zfp442
ZNF676,Gm14412
ZNF676,Zfp976
ZNF676,Zfp950
ZNF676,5430403G16Rik
ZNF676,Gm45871
ZNF676,Gm32687
ZNF676,Gm14124
ZNF678,Zfp72
ZNF678,Zfp85
ZNF679,Zfp982
ZNF679,Zfp935
ZNF681,Zfp457
ZNF681,Zfp595
ZNF683,Zfp683
ZNF687,Zfp687
ZNF688,Zfp688
ZNF689,Zfp689
ZNF691,Zfp691
ZNF692,Zfp692
ZNF696,9130023H24Rik
ZNF696,Gm14444
ZNF697,Zfp697
ZNF7,Zfp7
ZNF700,Zfp799
ZNF700,Gm31714
ZNF700,Gm19428
ZNF700,Zfp997
ZNF700,Gm7762
ZNF703,Zfp703
ZNF704,Zfp704
ZNF705A,Clec4a1
ZNF706,Zfp706
ZNF707,Zfp707
ZNF708,Zfp930
ZNF708,Gm10778
ZNF708,Zfp998
ZNF708,Zfp937
ZNF708,Zfp85
ZNF708,Zfp958
ZNF708,Zfp936
ZNF708,Gm4767
ZNF708,Gm14444
ZNF708,2610044O15Rik8
ZNF709,Zfp872
ZNF710,Zfp710
ZNF711,Zfp711
ZNF716,2610044O15Rik8
ZNF716,Zfp998
ZNF716,Gm14444
ZNF716,Zfp936
ZNF716,Zfp958
ZNF716,Gm4767
ZNF716,Gm10778
ZNF716,Zfp937
ZNF716,Zfp930
ZNF717,Zfp39
ZNF721,Zfp748
ZNF722,Zfp982
ZNF722,Zfp935
ZNF724,Zfp595
ZNF724,Zfp457
ZNF726,Gm3604
ZNF726,Gm45871
ZNF726,Gm14443
ZNF726,Zfp442
ZNF726,Gm14412
ZNF726,Zfp970
ZNF726,Gm14124
ZNF726,5430403G16Rik
ZNF726,Zfp976
ZNF726,Gm32687
ZNF726,Zfp950
ZNF726,Zfp433
ZNF726,Zfp997
ZNF726,Gm14399
ZNF726,Zfp712
ZNF728,5430403G16Rik
ZNF728,Zfp442
ZNF728,Gm45871
ZNF728,Zfp950
ZNF728,Zfp970
ZNF728,Zfp997
ZNF728,Gm3604
ZNF728,Gm32687
ZNF728,Gm14124
ZNF728,Gm14412
ZNF728,Gm14443
ZNF728,Zfp976
ZNF728,Zfp433
ZNF728,Gm14399
ZNF729,Zfp729a
ZNF729,Zfp738
ZNF729,Zfp729b
ZNF732,Gm45871
ZNF732,Gm3604
ZNF732,Gm14124
ZNF732,Zfp433
ZNF732,Zfp976
ZNF732,Zfp950
ZNF732,Gm32687
ZNF732,Zfp970
ZNF732,Gm14399
ZNF732,Gm14412
ZNF732,Zfp442
ZNF732,Gm14443
ZNF732,5430403G16Rik
ZNF732,Zfp997
ZNF735,Zfp982
ZNF735,Zfp935
ZNF738,Gm10037
ZNF740,Zfp740
ZNF746,Zfp746
ZNF750,Zfp750
ZNF76,Zfp523
ZNF761,Zfp51
ZNF764,E430018J23Rik
ZNF764,Zfp764
ZNF764,Zfp747
ZNF764,9130019O22Rik
ZNF767P,Zfp746
ZNF768,Zfp768
ZNF770,Zfp770
ZNF771,Zfp771
ZNF773,Zfp772
ZNF775,Zfp775
ZNF777,Zfp777
ZNF778,Zfp26
ZNF780A,Zfp850
ZNF780A,Zfp974
ZNF780A,Zfp607b
ZNF780A,Zfp626
ZNF780A,Zfp607a
ZNF780A,Zfp59
ZNF780A,Zfp60
ZNF780B,Zfp974
ZNF780B,Zfp59
ZNF780B,Zfp780b
ZNF781,D130040H23Rik
ZNF784,Zfp784
ZNF786,Zfp786
ZNF787,Zfp787
ZNF788P,A630089N07Rik
ZNF788P,Gm14288
ZNF788P,B230307C23Rik
ZNF790,Zfp790
ZNF791,Zfp791
ZNF799,Zfp799
ZNF8,Zfp128
ZNF800,Zfp800
ZNF804A,Zfp804a
ZNF804B,Zfp804b
ZNF813,Zfp87
ZNF813,Zfp708
ZNF813,Zfp712
ZNF821,Zfp821
ZNF823,Zfp882
ZNF827,Zfp827
ZNF830,Zfp830
ZNF831,Zfp831
ZNF839,Zfp839
ZNF845,Gm29738
ZNF845,Gm31526
ZNF845,Gm29746
ZNF845,Zfp759
ZNF845,Zfp748
ZNF846,Zfp846
ZNF85,Zfp595
ZNF85,Zfp457
ZNF850,Zfp619
ZNF852,Zkscan7
ZNF853,Zfp853
ZNF860,Zfp87
ZNF860,Zfp712
ZNF860,Zfp708
ZNF865,Zfp865
ZNF878,Zfp799
ZNF878,Zfp617
ZNF879,Zfp879
ZNF90,Zfp119b
ZNF91,Zfp869
ZNF91,Zfp729a
ZNF93,Gm32687
ZNF93,Gm14443
ZNF93,Gm14412
ZNF93,Zfp442
ZNF93,Zfp976
ZNF93,Gm14124
ZNF93,Zfp970
ZNF93,Gm14399
ZNF93,Gm3604
ZNF93,Zfp457
ZNF93,Zfp433
ZNF93,Gm45871
ZNF93,5430403G16Rik
ZNF93,Zfp997
ZNF93,Zfp950
ZNF99,Zfp729a
ZNFX1,Znfx1
ZNG1A,Cbwd1
ZNG1B,Cbwd1
ZNG1C,Cbwd1
ZNG1E,Cbwd1
ZNG1F,Cbwd1
ZNHIT1,Znhit1
ZNHIT2,Znhit2
ZNHIT3,Znhit3
ZNHIT6,Znhit6
ZNRD2,Znrd2
ZNRF1,Znrf1
ZNRF2,Znrf2
ZNRF3,Znrf3
ZNRF4,Znrf4
ZP1,Zp1
ZP2,Zp2
ZP3,Zp3
ZPBP,Zpbp
ZPBP2,Zpbp2
ZPLD1,Zpld1
ZPLD2P,Zpld2
ZPR1,Zpr1
ZRANB1,Zranb1
ZRANB2,Zranb2
ZRANB3,Zranb3
ZRSR2,Zrsr2
ZRSR2,Zrsr1
ZRSR2P1,Zrsr1
ZRSR2P1,Zrsr2
ZSCAN10,Zscan10
ZSCAN12,Zscan12
ZSCAN18,Zscan18
ZSCAN2,Zscan2
ZSCAN20,Zscan20
ZSCAN21,Zscan21
ZSCAN22,Zscan22
ZSCAN25,Zscan25
ZSCAN26,Zscan26
ZSCAN29,Zscan29
ZSCAN30,Zscan30
ZSCAN4,Zscan4-ps3
ZSCAN4,Zscan4-ps2
ZSCAN4,Zscan4d
ZSCAN4,Zscan4c
ZSCAN4,Zscan4f
ZSCAN4,Zscan4e
ZSCAN4,Zscan4b
ZSCAN4,Zscan4-ps1
ZSCAN5A,Zscan5b
ZSCAN5B,Zscan5b
ZSCAN5C,Zscan5b
ZSCAN5DP,Zscan5b
ZSWIM1,Zswim1
ZSWIM2,Zswim2
ZSWIM3,Zswim3
ZSWIM4,Zswim4
ZSWIM5,Zswim5
ZSWIM6,Zswim6
ZSWIM7,Zswim7
ZSWIM8,Zswim8
ZSWIM9,Zswim9
ZUP1,Zup1
ZW10,Zw10
ZWILCH,Zwilch
ZWINT,Zwint
ZXDA,Zxdb
ZXDB,Zxdb
ZXDC,Zxdc
ZYG11A,Zyg11a
ZYG11B,Zyg11b
ZYX,Zyx
ZZEF1,Zzef1
ZZZ3,Zzz3
CFL1,Cfl1
DCAF8L2,Dcaf8l
DCAF8L1,Dcaf8l
SYT4,Syt4
SFSWAP,Sfswap
HMGA2,Hmga2
ELK3,Elk3
CFL2,Cfl2
CDK5R1,Cdk5r1
CDK5,Cdk5
RYK,Ryk
MCL1,Mcl1
BFSP1,Bfsp1
SNTB2,Sntb2
SNTA1,Snta1
CD86,Cd86
CD79A,Cd79a
CD80,Cd80
LHX4,Lhx4
SERPINE2,Serpine2
SNTB1,Sntb1
SCNN1A,Scnn1a
PLK4,Plk4
NES,Nes
MYBL2,Mybl2
MTF1,Mtf1
MT-ND1,mt-Nd1
CISD3,Cisd3
LIG1,Lig1
FABP5,Fabp5
FABP5P3,Fabp5
ISL1,Isl1
DPPA5,Dppa5a
F2R,F2r
GYS1,Gys1
COQ3,Coq3
FMN1,Fmn1
MSH2,Msh2
TANGO2,Tango2
ELK1,Elk1
TUBG1,Tubg1
TRAF2,Traf2
TRAF1,Traf1
TBP,Tbp
RPL28,Rpl28
PPM1B,Ppm1b
PLA2G1B,Pla2g1b
MCM3,Mcm3
MNDA,Ifi205
IFI16,Ifi205
PYHIN1,Ifi205
GNB5,Gnb5
RACK1,Rack1
USP45,Usp45
USP15,Usp15
CCSER2,Ccser2
ALDOC,Aldoc
DAG1,Dag1
SRMS,Srms
THPO,Thpo
TEAD1,Tead1
TCF12,Tcf12
CCL8,Ccl8
PPARD,Ppard
POU5F1B,Pou5f1
POU5F1,Pou5f1
POU3F4,Pou3f4
POU3F2,Pou3f2
POU3F1,Pou3f1
POU2F2,Pou2f2
POU2F1,Pou2f1
PLA2G5,Pla2g5
MMP14,Mmp14
GPR3,Gpr3
GPR12,Gpr12
F2RL1,F2rl1
DUSP2,Dusp2
DAD1,Dad1
CHML,Chml
CALB2,Calb2
FABP7,Fabp7
BCAP29,Bcap29
AKR1B10,Akr1b7
AKR1B15,Akr1b7
AP1G1,Ap1g1
AP2A2,Ap2a2
AP2A1,Ap2a1
TNC,Tnc
SLC12A2,Slc12a2
KRT13,Krt13
DLX5,Dlx5
DLX6,Dlx6
SLC1A2,Slc1a2
CPE,Cpe
TFDP1,Tfdp1
TFDP3,Tfdp1
PKIB,Pkib
MLH1,Mlh1
HMGCS2,Hmgcs2
ARHGDIB,Arhgdib
E2F1,E2f1
CA5A,Car5a
HNRNPD,Hnrnpd
WNT11,Wnt11
RAD52,Rad52
CALCR,Calcr
SLC9A1,Slc9a1
NFATC2,Nfatc2
TEX2,Tex2
PTPN14,Ptpn14
PLA2R1,Pla2r1
NFATC1,Nfatc1
MT-TY,mt-Ty
MT-TW,mt-Tw
MT-TV,mt-Tv
MT-TT,mt-Tt
MT-TS2,mt-Ts2
MT-TS1,mt-Ts1
MT-TR,mt-Tr
MT-TQ,mt-Tq
MT-TP,mt-Tp
MT-TN,mt-Tn
MT-TM,mt-Tm
MT-TL2,mt-Tl2
MT-TL1,mt-Tl1
MT-TK,mt-Tk
MT-TI,mt-Ti
MT-TH,mt-Th
MT-TG,mt-Tg
MT-TF,mt-Tf
MT-TE,mt-Te
MT-TD,mt-Td
MT-TC,mt-Tc
MT-TA,mt-Ta
MT-RNR2,mt-Rnr2
MT-RNR1,mt-Rnr1
MT-ND6,mt-Nd6
MT-ND5,mt-Nd5
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND3,mt-Nd3
MT-ND2,mt-Nd2
MT-CYB,mt-Cytb
MT-CO3,mt-Co3
MTCO2P12,mt-Co2
MT-CO2,mt-Co2
MT-CO1,mt-Co1
DEFA3,Defa31
DEFA6,Defa31
DEFA1,Defa31
DEFA5,Defa31
DEFA1B,Defa31
DEFA1,Defa-rs12
DEFA5,Defa-rs12
DEFA3,Defa-rs12
DEFA1B,Defa-rs12
DEFA6,Defa-rs12
DEFA5,Defa-rs10
DEFA1,Defa-rs10
DEFA6,Defa-rs10
DEFA1B,Defa-rs10
DEFA3,Defa-rs10
ADAM3A,Adam3
CST3,Cst3
PHB2,Phb2
CACNB1,Cacnb1
POU4F3,Pou4f3
POU4F2,Pou4f2
POU4F1,Pou4f1
NAT1,Nat3
NAT2,Nat3
TBX6,Tbx6
TBX5,Tbx5
FAU,Fau
TSC2,Tsc2
CCNF,Ccnf
CRISP3,Crisp1
TBX4,Tbx4
DCT,Dct
POU3F3,Pou3f3
POU2F3,Pou2f3
NRL,Nrl
NDP,Ndp
NMT1,Nmt1
RDH11,Rdh11
MYH11,Myh11
CDC34,Cdc34
KCND2,Kcnd2
PPP5C,Ppp5c
PMP2,Pmp2
OBP2B,Lcn4
OBP2A,Lcn4
DDX4,Ddx4
RUNX3,Runx3
LHX3,Lhx3
UMOD,Umod
CRYM,Crym
ABCC1,Abcc1
LLGL1,Llgl1
GRB7,Grb7
CDC27,Cdc27
BCL2A1,Bcl2a1a
H2AX,H2ax
SRM,Srm
PTPRM,Ptprm
PTPRF,Ptprf
PIP,Pip
OR1J1,Or1j1
OR1E2,Or1e16
OR1E3,Or1e16
MTCP1,Mtcp1
CMC4,Mtcp1
ITGA7,Itga7
LILRB4,Lilrb4a
LILRB4,Lilrb4b
GNG4,Gng4
GNG3,Gng3
GNG2,Gng2
FDFT1,Fdft1
EFNA2,Efna2
EFNB1,Efnb1
CAV1,Cav1
CRYBA4,Cryba4
CRYBB3,Crybb3
VAV2,Vav2
EDNRB,Ednrb
PCNT,Pcnt
TPP2,Tpp2
POLR2K,Polr2k
DCK,Dck
GUCA2A,Guca2a
NELFE,Nelfe
TRIM25,Trim25
ZBTB7B,Zbtb7b
PRSS3,Try5
PRSS1,Try5
PRSS2,Try5
PRSS3P2,Try5
PRSS3,Try4
PRSS2,Try4
PRSS3P2,Try4
PRSS1,Try4
PRSS3P2,Prss3
PRSS2,Prss3
PRSS1,Prss3
PRSS2,Prss2
STAR,Star
SMR3B,Smr2
SMR3A,Smr3a
SIX3,Six3
PTPRN,Ptprn
MFGE8,Mfge8
GUCA1A,Guca1a
GBP2,Gbp2
GBP1,Gbp2
CES3,Ces3a
AIMP1,Aimp1
AP1M1,Ap1m1
SIX2,Six2
FEN1,Fen1
SIX1,Six1
TGFB1I1,Tgfb1i1
RPH3A,Rph3a
RAB20,Rab20
RAB18,Rab18
PRPH2,Prph2
FSTL1,Fstl1
AKAP4,Akap4
FGL1,Fgl1
ACSL1,Acsl1
ENTPD1,Entpd1
ACVR2A,Acvr2a
SARS1,Sars
LMO3,Lmo3
LMO2,Lmo2
LMO1,Lmo1
MYBPC3,Mybpc3
BDKRB2,Bdkrb2
SERPINA3,Serpina3c
KLKB1,Klkb1
KLK1,Klk1
KLK2,Klk1
KLK3,Klk1
PDX1,Pdx1
ELK4,Elk4
RPL5,Rpl5
FOSL2,Fosl2
VCAN,Vcan
CCNG1,Ccng1
ADCY7,Adcy7
SULT1A4,Sult1a1
SULT1A3,Sult1a1
SULT1A1,Sult1a1
SULT1A2,Sult1a1
PCSK6,Pcsk6
DGKQ,Dgkq
SULT1C3,Sult1c1
SULT1C4,Sult1c1
SCX,Scx
POU6F1,Pou6f1
UBE2B,Ube2b
FOXN1,Foxn1
DGKA,Dgka
CDK7,Cdk7
UBE2A,Ube2a
TXK,Txk
INMT,Inmt
SRPRB,Srprb
SCN7A,Scn7a
PTGDR,Ptgdr
MTNR1A,Mtnr1a
GCSAM,Gcsam
EPB41L5,Epb41l5
EPB41L4A,Epb41l4a
EPB41L3,Epb41l3
EPB41L2,Epb41l2
EPB41L1,Epb41l1
CCR7,Ccr7
E2F4,E2f4
CACNA1C,Cacna1c
IL15,Il15
PPP1CA,Ppp1ca
FCGRT,Fcgrt
SYN2,Syn2
RECQL,Recql
RELN,Reln
MTX1,Mtx1
TARBP2,Tarbp2
SCG3,Scg3
SCG2,Scg2
STAT6,Stat6
STAT5B,Stat5b
STAT5A,Stat5a
STAT3,Stat3
STAT2,Stat2
RSU1,Rsu1
ECM1,Ecm1
STAT4,Stat4
STAT1,Stat1
DDX3X,Ddx3x
ATRX,Atrx
HLA-DQB2,H2-Ab1
HLA-DQB1,H2-Ab1
RANGAP1,Rangap1
ZYX,Zyx
ZP1,Zp1
WEE1,Wee1
VDR,Vdr
STX3,Stx3
SPR,Spr
PURA,Pura
PIGR,Pigr
ANAPC1,Anapc1
PDPN,Pdpn
COX6A1,Cox6a1
CA7,Car7
F10,F10
BTN1A1,Btn1a1
SERPINB6,Serpinb6a
BARX1,Barx1
DYNC1H1,Dync1h1
UCHL1,Uchl1
SLC12A1,Slc12a1
PLTP,Pltp
GABRG1,Gabrg1
DNASE1,Dnase1
CISH,Cish
AZGP1,Azgp1
SCN8A,Scn8a
GFI1,Gfi1
ZNF354A,Zfp354a
MPZ,Mpz
VEGFA,Vegfa
TCF19,Tcf19
SOD3,Sod3
SLC19A1,Slc19a1
UIMC1,Uimc1
RN7SK,Rn7sk
NQO1,Nqo1
NFIB,Nfib
MMP7,Mmp7
MUC13,Muc13
MCM5,Mcm5
CDC25A,Cdc25a
MCM4,Mcm4
AQP1,Aqp1
ADSL,Adsl
ACOD1,Acod1
SLC17A1,Slc17a1
MEOX2,Meox2
MEOX1,Meox1
DSC2,Dsc2
ZBTB16,Zbtb16
VHLL,Vhl
VHL,Vhl
FDX1,Fdx1
CYP4B1,Cyp4b1
COX7C,Cox7c
CMAHP,Cmah
GRB10,Grb10
HERC2,Herc2
EFNA1,Efna1
CYP2C19,Cyp2c29
CYP2C9,Cyp2c29
CYP2C8,Cyp2c29
CYP2C18,Cyp2c29
TFAP4,Tfap4
SLK,Slk
PHC1,Phc1
CALM3,Calm3
CALM2,Calm2
ACLY,Acly
CYB561,Cyb561
RPIA,Rpia
INPP5B,Inpp5b
ADAD1,Adad1
YAP1,Yap1
MCF2L,Mcf2l
ARHGEF2,Arhgef2
FRK,Frk
FGL2,Fgl2
EIF4EBP1,Eif4ebp1
DNAJC1,Dnajc1
TFEB,Tfeb
ATP6V1B1,Atp6v1b1
ATP6V0A1,Atp6v0a1
ZRSR2P1,Zrsr2
ZRSR2,Zrsr2
POLR1C,Polr1c
RELB,Relb
RELA,Rela
RAI1,Rai1
RAB19,Rab19
PTPN13,Ptpn13
PRG2,Prg2
PON1,Pon1
NFATC3,Nfatc3
ATP7B,Atp7b
APOBEC1,Apobec1
RBL1,Rbl1
CACNB4,Cacnb4
BMP7,Bmp7
ALK,Alk
TIAM1,Tiam1
CACNB3,Cacnb3
FLOT2,Flot2
PTPRK,Ptprk
CLCN3,Clcn3
CXCL12,Cxcl12
XPC,Xpc
SOX18,Sox18
KPNA1,Kpna1
KPNA2,Kpna2
HSD11B1,Hsd11b1
CD6,Cd6
CXCR5,Cxcr5
XK,Xk
CEBPE,Cebpe
CEBPD,Cebpd
AMPH,Amph
SKP1,Skp1
CCL11,Ccl11
HAND1,Hand1
MADCAM1,Madcam1
HAND2,Hand2
MUSK,Musk
ERCC5,Ercc5
PMS2P1,Pms2
PMS2P2,Pms2
PMS2P6,Pms2
PMS2,Pms2
TYRO3,Tyro3
SLA,Sla
NOVA2,Nova2
NOVA1,Nova1
PTGER4,Ptger4
NOG,Nog
RHBDF1,Rhbdf1
CRYBA2,Cryba2
MYO7A,Myo7a
TNFSF4,Tnfsf4
TNFRSF4,Tnfrsf4
NQO2,Nqo2
BMP8B,Bmp8a
BMP8A,Bmp8a
SLC23A3,Slc23a3
XRCC5,Xrcc5
CNTN2,Cntn2
MEF2B,Mef2b
BORCS8-MEF2B,Mef2b
S100G,S100g
MGAT3,Mgat3
CCL23,Ccl9
CCL15,Ccl9
PEMT,Pemt
BRCA1,Brca1
APOF,Apof
CLEC3B,Clec3b
GCDH,Gcdh
AMY2A,Amy2a1
AMY2B,Amy2a1
AMY1A,Amy2a1
AMY1C,Amy2a1
AMY1B,Amy2a1
TNS1,Tns1
MITF,Mitf
MAFB,Mafb
CDKN1A,Cdkn1a
RPS6KA3,Rps6ka3
RPS6KA1,Rps6ka1
RCN1,Rcn1
NSF,Nsf
NAPG,Napg
NAPB,Napb
NAPA,Napa
CDKN1C,Cdkn1c
CDKN1B,Cdkn1b
FGD1,Fgd1
HCLS1,Hcls1
CLCN4,Clcn4
LIMK1,Limk1
PTPRJ,Ptprj
LCT,Lct
IL12RB1,Il12rb1
RAPGEF1,Rapgef1
GNB4,Gnb4
EPS15L1,Eps15l1
EPS15,Eps15
ACTG2,Actg2
ACRV1,Acrv1
MICOS10-NBL1,Nbl1
NBL1,Nbl1
MYEF2,Myef2
XCL2,Xcl1
XCL1,Xcl1
PROCR,Procr
TNNT2,Tnnt2
PRPF39,Prpf39
SH3BP1,Sh3bp1
RAB34,Rab34
MDFIC,Mdfic
COX6C,Cox6c
CNR1,Cnr1
CCR3,Ccr3
CCR1,Ccr1l1
CCR1,Ccr1
ALX1,Alx1
STRBP,Strbp
DST,Dst
PENK,Penk
WARS1,Wars1
UTRN,Utrn
UBE2H,Ube2h
TLE4,Tle4
TLE3,Tle3
TLE2,Tle2
TLE1,Tle1
TGFBR3,Tgfbr3
TFF3,Tff3
RAB17,Rab17
PTX3,Ptx3
PLA2G2A,Pla2g2a
PDCD2,Pdcd2
IL15RA,Il15ra
HSD3B1,Hsd3b5
HSD3B2,Hsd3b5
FBRS,Fbrs
COX6A2,Cox6a2
CNR2,Cnr2
CD82,Cd82
CAPZB,Capzb
ATP2B1,Atp2b1
ATOH1,Atoh1
AMBN,Ambn
DLL1,Dll1
RORA,Rora
PML,Pml
LEP,Lep
TCF15,Tcf15
SOAT1,Soat1
HMMR,Hmmr
MAN2A1,Man2a1
FKBP5,Fkbp5
TFAP2A,Tfap2a
TFAP2B,Tfap2b
PTPN12,Ptpn12
MAN1A2,Man1a2
MAN1A1,Man1a
